,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2063,1053.42,1318.1,945.51,1084.33,1015.99,1185.09,1041.79,1113.99,1174.85,592.17,1268.13,1015.46,1076.22,694.99,1091.89,1233.77,785.61,1066.45,1033.57,1077.37,1067.28,782.35,1058.06,959.9,928.12,452.78,1183.38,918.46,923.28,625.11,624.7,623.26,625.8
2064,983.62,1223.48,919.44,1078.05,923.79,1126.79,966.94,1007.32,1022.66,541.45,1231.92,883.93,928.71,698.33,1081.54,1120.55,791.34,894.68,969.49,892.46,1006.77,791.33,1035.05,1003.3,943.45,574.5,1061.44,823.03,816.7,721.67,724.25,733.11,717.44
2065,1049.76,1302.61,954.9,1062.12,1082.12,1153.91,1057.08,1106.31,1171.24,627.26,1239.27,1072.28,1106.63,703.37,1074.82,1255.98,824.91,1046.59,1048.52,1092.8,1029.05,715.87,999.84,1045.47,957.71,497.59,1280.2,980.12,964.42,671.57,675.04,686.92,665.9
2066,995.16,1291,928.72,1023.01,968.67,1153.71,1027.44,988.97,1086.99,553.49,1257.14,895.72,910.48,688.66,1019.54,1212.25,826.39,913.47,980.14,915.4,988.72,729.77,1005.8,1046,949.55,605.82,1300.97,901.17,889.17,704.41,709.34,726.26,696.34
2067,1050.19,1304.85,975.76,1166.11,988.21,1252.14,1017.6,1085.5,1137.53,531.43,1273.07,956.71,1038.12,745.42,1149.12,1218.24,836.35,947.4,987.59,991.22,1015.85,760.62,1096.07,1002.2,932.93,500.43,1471.78,856.17,855.91,607.26,610.68,622.39,601.68
2068,986.16,1268.35,895.1,1068.48,933.42,1148.1,1018.79,964.83,1054.88,546.21,1277.12,889.64,933.4,696.93,1049.55,1159.46,786.66,891.33,929.45,894.26,959.45,760.05,1055.97,1012.5,962.97,554.52,1095.44,899.07,902.2,699.43,703.7,718.34,692.45
2069,1012.95,1273.47,893.43,1033.68,994.55,1149.29,980.44,1066.38,1136.02,511.91,1235.95,987.76,1062.37,696.5,1059.34,1207.02,757.39,1017.6,972.64,1021.54,996.47,774.19,1011.33,1051.37,976.27,475.08,1258.4,937.27,936.94,584.42,583.81,581.74,585.41
2070,1036.68,1338.54,968.63,1140.03,979.46,1226.09,1057.63,1011.65,1107.23,530.81,1352.15,889.73,931,739.62,1110.32,1254.59,848.04,911,952.82,923.34,1023.73,771.01,1088.11,981.58,971.66,565.09,1260.36,857.44,839.38,693.67,695.78,703,690.22
2071,1040.49,1354.4,916.56,1082.26,1005.47,1210.51,1010.72,1075.87,1157.07,531.47,1330.15,963.08,1026.88,740.64,1061.61,1236.7,816.9,953.68,996,1008.22,997.83,820.81,1056.18,955.67,913.76,484.38,1252.55,753.05,752.26,594.17,595.19,598.68,592.51
2072,993.46,1262.95,881.14,1045.12,914.95,1168,962.02,941.23,1099.15,562.8,1260.15,903.41,960.32,752.31,975.63,1186.89,815.75,971.96,853.17,958.66,874.66,840.06,1074.57,1043.12,961.93,472.83,1099.07,890.62,905.64,606.94,607.42,609.08,606.15
2073,1010.01,1288.15,970.13,1086.97,918.05,1137.12,919.81,987.31,1081.23,634.27,1264.56,892.19,948.43,788.71,1070.44,1183.44,911.85,950.37,883.07,957.98,934.65,844.54,1041.28,1030.46,949.92,548.91,1065.74,908.9,908.29,678.31,680.03,685.94,675.49
2074,981.17,1290.52,924.67,1057.64,942.32,1189.06,999.32,979.1,1108.5,470.66,1289.37,880.4,942.8,638.11,1039.31,1188.15,789.04,932.2,922.47,921.5,972.85,640.57,969.04,983.26,905.13,487.85,1355.8,874.89,855.03,626.5,630.72,645.15,619.62
2075,1033.18,1326.91,929.03,1074.26,1034.37,1171.21,1041.29,1069.89,1086.77,560.6,1308.43,977.85,1029.78,704.8,1060.23,1206.6,798.82,958.62,1019.82,982.52,1015.42,815.51,1059.24,1038.52,977.14,532.64,1115.01,1002.09,989.22,596.39,599.13,608.48,591.93
2076,1029.68,1298.92,944.76,1106.94,982.11,1184.02,948.58,1057.17,1120.65,604.4,1280.47,976.37,1011.79,787.89,1111.4,1202.93,855.42,964.38,901.35,990.52,956.38,816.97,1063.02,996.83,908.5,584.77,1162.57,972.56,971.41,601.9,607.89,628.41,592.11
2077,971.07,1291.9,872.36,1034.88,916.91,1114.5,938.23,928.38,1047.84,513.3,1238.7,891.97,925.05,706.03,988.41,1173.74,764.88,940.9,896.78,936.68,912.61,775.97,1039.09,896.29,830.44,588.64,1196.96,783.3,796.58,620.9,625.32,640.47,613.67
2078,942.8,1293.74,842.28,961.02,928.49,1061.45,906.38,983.11,1079.16,488.33,1166.26,947.4,979.81,597.07,985.75,1196.51,720.56,948.22,873.3,973.74,874.8,626.89,907.91,1089.99,1029.89,575.98,1242.18,895.53,886.74,689.05,692.62,704.84,683.22
