Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
1948,778.18,814.71,693.57,856.94,680.6,706.35,836.52,566.9,824.46,604.03,1009.63,650.14,600.6,816.55,722.8,863.12,695.7,783.63,605.39,736.43,610.59,1091.65,1089.98,3349.45,3005.71,3391.3,1606.8,2014.97,2056.04,3501.7,3421.52,2982.78,3632.8
1949,641.43,546.83,797.75,648.4,591.93,498.01,731.8,469.36,569.56,715.45,679.74,541.78,436.15,708.13,656.76,601.41,669.72,576.55,542.39,524.54,609.21,847.94,774.85,3362.47,3102.4,2767.51,1304.1,2014.97,2056.04,2590.1,2529.43,2208.12,2689.3
1950,794.42,905.45,830.69,779.08,829.45,712.74,1041.55,653.08,843.04,714.95,1045.55,751.74,637.26,638.43,801.14,921.09,634.7,837.7,766.66,774.32,764.9,784.02,934.02,3050.82,2581.34,3158.14,1407.9,2014.97,2056.04,3038.42,2958.25,2530.11,3169.5
1951,999.84,916.78,1053.87,1096.36,942.94,902.54,1119.62,729.06,916.55,893.04,1210.23,861.77,708.97,1082.27,983.01,945.27,1003.13,910.32,814.7,826.69,845.73,1345.39,1318.25,3061.72,2647.58,3231.94,1468,1648.69,1676.86,3743,3661.85,3205.63,3875.7
1952,891.26,955.89,968.73,896.77,886.77,862.57,1071.63,733.82,972.04,648.81,1230.5,796.24,719.55,664.43,905.95,1030.84,719.97,879.3,833.72,819.71,869.87,911.61,1094.86,2941.5,2427.77,3480.04,1336.3,2225.54,2228.96,3311.57,3233.58,2803.73,3439.1
1953,609.91,587.76,698.01,655.21,517.79,553.29,596.67,432.93,550.11,676.71,761.9,496.06,422.12,690.27,559.4,567.27,642.73,546.51,453.13,492.93,483.55,882.9,805.02,3240.3,2874.99,3076.48,1159.5,2439.26,2460.68,3141.27,3069.08,2675.48,3259.3
1954,797.88,877.67,838.7,867.88,751.88,714.49,921.11,549.3,771.7,710.76,1077.06,692.58,541.85,760.17,767.35,861.53,721.4,764.38,644.07,666.64,668.51,1024.93,1104.49,3262.41,2988.14,3526.28,1424,1720.59,1739.51,3178.4,3096.32,2658.86,3312.6
1955,800.42,819.36,892.91,843.16,695.19,716.32,840.02,607.18,738.56,715.77,1062.44,669,565.86,844.43,812.2,797.94,859.9,652.72,650.29,619.36,718.93,954.7,1050.51,3178.2,2800.74,3540.74,1610.3,2509.57,2541.27,3519.62,3439.64,3001.18,3650.4
1956,780.54,828.45,812.36,882.79,649.91,774.2,816.72,565.44,772.99,728.25,1064.21,608.4,553.58,795.91,759.73,828.96,758.77,719.48,591.91,636.19,630.62,985.17,1064.15,3294.4,2921.93,3545.6,1721.8,1872.14,1920.15,3747.45,3650.05,3128.89,3906.7
1957,778.72,744.89,751.99,794.64,719.26,686.47,880.19,628.66,786.04,696.39,909.28,656.21,609.01,862.69,770.2,782.42,779.48,748.25,664.52,692.75,687.08,1049.47,933.75,2769.56,2107.36,2998.56,1569,1680.44,1708.75,3101.78,3025.99,2610.14,3225.7
